PNL Durations: NeuronLayer: 1.03ms | WindowMeans: 0.14ms | WindowWeighting: 30.71ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 0.98ms | WindowMeans: 0.16ms | WindowWeighting: 32.97ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.27ms | WindowMeans: 0.18ms | WindowWeighting: 74.10ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.90ms | WindowMeans: 0.15ms | WindowWeighting: 31.18ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.18ms | WindowMeans: 0.15ms | WindowWeighting: 35.83ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.98ms | WindowMeans: 0.17ms | WindowWeighting: 36.91ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.08ms | WindowMeans: 0.38ms | WindowWeighting: 32.58ms | CombineLayer: 0.17ms
PNL Durations: NeuronLayer: 0.95ms | WindowMeans: 0.20ms | WindowWeighting: 33.21ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.20ms | WindowMeans: 0.23ms | WindowWeighting: 33.85ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.01ms | WindowMeans: 0.21ms | WindowWeighting: 32.56ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 15.59ms | WindowMeans: 1.07ms | WindowWeighting: 310.22ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 2.17ms | WindowMeans: 0.18ms | WindowWeighting: 33.82ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.15ms | WindowWeighting: 31.32ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.14ms | WindowMeans: 0.16ms | WindowWeighting: 32.23ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.51ms | WindowMeans: 0.26ms | WindowWeighting: 34.59ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.01ms | WindowMeans: 0.20ms | WindowWeighting: 31.49ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.21ms | WindowWeighting: 31.19ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.13ms | WindowMeans: 0.25ms | WindowWeighting: 31.75ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.11ms | WindowMeans: 0.25ms | WindowWeighting: 31.21ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.26ms | WindowMeans: 0.23ms | WindowWeighting: 30.96ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.06ms | WindowMeans: 0.17ms | WindowWeighting: 30.63ms | CombineLayer: 0.10ms
PNL Durations: NeuronLayer: 1.04ms | WindowMeans: 0.19ms | WindowWeighting: 31.69ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 5.31ms | WindowMeans: 1.15ms | WindowWeighting: 361.62ms | CombineLayer: 0.28ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.22ms | WindowWeighting: 32.78ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.19ms | WindowMeans: 0.18ms | WindowWeighting: 32.51ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.14ms | WindowMeans: 0.17ms | WindowWeighting: 33.69ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.18ms | WindowMeans: 0.22ms | WindowWeighting: 34.83ms | CombineLayer: 0.15ms
PNL Durations: NeuronLayer: 1.13ms | WindowMeans: 0.22ms | WindowWeighting: 32.08ms | CombineLayer: 0.06ms
