inner step 4: forward: 35.64ms | predict: 3.91ms | loss: 0.73ms
inner step 4: forward: 35.18ms | predict: 3.76ms | loss: 0.69ms
inner step 4: forward: 36.51ms | predict: 2.14ms | loss: 0.34ms
inner step 4: forward: 36.87ms | predict: 2.53ms | loss: 0.54ms
inner step 4: forward: 37.24ms | predict: 2.15ms | loss: 0.34ms
inner step 4: forward: 37.50ms | predict: 3.66ms | loss: 0.76ms
inner step 4: forward: 35.19ms | predict: 3.71ms | loss: 0.78ms
inner step 4: forward: 35.04ms | predict: 3.81ms | loss: 0.67ms
inner step 4: forward: 35.46ms | predict: 2.57ms | loss: 0.33ms
inner step 4: forward: 36.20ms | predict: 2.97ms | loss: 0.34ms
inner step 4: forward: 35.44ms | predict: 2.19ms | loss: 0.32ms
inner step 4: forward: 35.67ms | predict: 2.16ms | loss: 0.35ms
inner step 4: forward: 37.89ms | predict: 3.31ms | loss: 0.39ms
inner step 4: forward: 35.39ms | predict: 3.80ms | loss: 0.70ms
inner step 4: forward: 35.06ms | predict: 3.72ms | loss: 0.78ms
inner step 4: forward: 35.33ms | predict: 2.48ms | loss: 0.70ms
inner step 4: forward: 35.43ms | predict: 3.73ms | loss: 0.73ms
inner step 4: forward: 35.91ms | predict: 3.49ms | loss: 0.37ms
inner step 4: forward: 36.38ms | predict: 2.09ms | loss: 0.33ms
inner step 4: forward: 34.50ms | predict: 3.84ms | loss: 0.68ms
inner step 4: forward: 36.26ms | predict: 2.51ms | loss: 0.40ms
inner step 4: forward: 36.27ms | predict: 6.38ms | loss: 0.44ms
inner step 4: forward: 34.82ms | predict: 2.91ms | loss: 0.85ms
inner step 4: forward: 35.86ms | predict: 3.67ms | loss: 0.37ms
inner step 4: forward: 35.00ms | predict: 3.70ms | loss: 0.72ms
inner step 4: forward: 36.01ms | predict: 3.69ms | loss: 0.71ms
inner step 4: forward: 35.81ms | predict: 1.77ms | loss: 0.34ms
inner step 4: forward: 35.46ms | predict: 2.40ms | loss: 0.34ms
inner step 4: forward: 36.01ms | predict: 1.87ms | loss: 0.29ms
inner step 4: forward: 34.97ms | predict: 3.70ms | loss: 0.71ms
inner step 4: forward: 35.08ms | predict: 3.59ms | loss: 0.70ms
inner step 4: forward: 33.81ms | predict: 4.22ms | loss: 0.33ms
inner step 4: forward: 35.43ms | predict: 3.69ms | loss: 0.71ms
inner step 4: forward: 35.62ms | predict: 2.23ms | loss: 0.31ms
inner step 4: forward: 42.01ms | predict: 3.82ms | loss: 0.75ms
inner step 4: forward: 39.75ms | predict: 2.70ms | loss: 0.41ms
inner step 4: forward: 35.09ms | predict: 2.20ms | loss: 0.83ms
inner step 4: forward: 34.86ms | predict: 3.50ms | loss: 0.70ms
inner step 4: forward: 38.84ms | predict: 3.27ms | loss: 0.70ms
inner step 4: forward: 35.80ms | predict: 3.89ms | loss: 0.71ms
inner step 4: forward: 34.29ms | predict: 3.83ms | loss: 0.73ms
inner step 4: forward: 35.10ms | predict: 3.79ms | loss: 0.68ms
inner step 4: forward: 34.32ms | predict: 3.73ms | loss: 0.68ms
inner step 4: forward: 37.24ms | predict: 3.60ms | loss: 0.41ms
inner step 4: forward: 34.95ms | predict: 3.66ms | loss: 0.72ms
inner step 4: forward: 35.00ms | predict: 2.69ms | loss: 0.38ms
inner step 4: forward: 35.13ms | predict: 3.78ms | loss: 0.76ms
inner step 4: forward: 35.31ms | predict: 3.73ms | loss: 0.78ms
inner step 4: forward: 35.12ms | predict: 3.30ms | loss: 0.70ms
inner step 4: forward: 34.18ms | predict: 3.76ms | loss: 0.71ms
inner step 4: forward: 51.64ms | predict: 4.52ms | loss: 0.73ms
inner step 4: forward: 33.98ms | predict: 3.72ms | loss: 0.77ms
inner step 4: forward: 34.63ms | predict: 1.81ms | loss: 0.84ms
inner step 4: forward: 42.70ms | predict: 3.56ms | loss: 0.49ms
inner step 4: forward: 35.60ms | predict: 2.17ms | loss: 0.33ms
inner step 4: forward: 34.19ms | predict: 4.21ms | loss: 0.91ms
inner step 4: forward: 36.56ms | predict: 3.70ms | loss: 0.70ms
inner step 4: forward: 34.60ms | predict: 3.78ms | loss: 0.70ms
inner step 4: forward: 36.56ms | predict: 3.22ms | loss: 0.36ms
inner step 4: forward: 35.13ms | predict: 3.71ms | loss: 0.71ms
inner step 4: forward: 35.08ms | predict: 3.74ms | loss: 0.70ms
inner step 4: forward: 36.19ms | predict: 2.34ms | loss: 0.73ms
inner step 4: forward: 35.62ms | predict: 2.28ms | loss: 0.34ms
inner step 4: forward: 34.76ms | predict: 3.54ms | loss: 0.34ms
inner step 4: forward: 34.92ms | predict: 3.76ms | loss: 0.75ms
inner step 4: forward: 34.59ms | predict: 3.73ms | loss: 0.33ms
inner step 4: forward: 45.48ms | predict: 2.07ms | loss: 0.38ms
inner step 4: forward: 36.05ms | predict: 2.91ms | loss: 0.34ms
inner step 4: forward: 34.85ms | predict: 2.26ms | loss: 0.34ms
inner step 4: forward: 35.80ms | predict: 3.82ms | loss: 0.73ms
inner step 4: forward: 35.33ms | predict: 4.06ms | loss: 0.96ms
inner step 4: forward: 36.05ms | predict: 3.76ms | loss: 0.34ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 22.02ms | Neuron: 151.98ms | Memory: 19.36ms | Output: 3.83ms | Total: 197.21ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.25ms | Neuron: 649.79ms | Memory: 13.61ms | Output: 1.04ms | Total: 665.71ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 3.31ms | Neuron: 333.96ms | Memory: 1.34ms | Output: 0.06ms | Total: 338.70ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.47ms | Neuron: 1861.79ms | Memory: 4.68ms | Output: 0.06ms | Total: 1867.01ms
inner step 4: forward: 1867.11ms | predict: 25.78ms | loss: 0.38ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.21ms | Neuron: 189.76ms | Memory: 1.55ms | Output: 0.09ms | Total: 192.63ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.49ms | Neuron: 621.61ms | Memory: 1.43ms | Output: 0.06ms | Total: 623.59ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.55ms | Neuron: 688.26ms | Memory: 1.42ms | Output: 0.06ms | Total: 690.29ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.48ms | Neuron: 1910.38ms | Memory: 3.67ms | Output: 0.09ms | Total: 1914.63ms
inner step 4: forward: 1914.75ms | predict: 28.03ms | loss: 0.52ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.91ms | Neuron: 184.80ms | Memory: 1.76ms | Output: 0.15ms | Total: 188.63ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.50ms | Neuron: 187.19ms | Memory: 1.19ms | Output: 0.06ms | Total: 188.95ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.51ms | Neuron: 184.88ms | Memory: 1.54ms | Output: 0.06ms | Total: 187.00ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.52ms | Neuron: 477.64ms | Memory: 1.20ms | Output: 0.06ms | Total: 479.43ms
inner step 4: forward: 479.49ms | predict: 3.92ms | loss: 0.73ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.10ms | Neuron: 260.99ms | Memory: 1.31ms | Output: 0.07ms | Total: 263.48ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.20ms | Neuron: 219.92ms | Memory: 1.04ms | Output: 0.06ms | Total: 222.24ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.21ms | Neuron: 195.01ms | Memory: 1.19ms | Output: 0.06ms | Total: 197.48ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.87ms | Neuron: 607.65ms | Memory: 1.20ms | Output: 0.06ms | Total: 609.79ms
inner step 4: forward: 609.89ms | predict: 2.75ms | loss: 0.89ms
