Durations: Step: 17154.13ms, Save: 68.58ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16832.45ms, Save: 62.91ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16432.59ms, Save: 64.65ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16410.62ms, Save: 62.12ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16420.32ms, Save: 63.25ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16393.12ms, Save: 63.56ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16210.97ms, Save: 63.42ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16345.91ms, Save: 63.62ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16549.55ms, Save: 63.46ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18278.84ms, Save: 65.31ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17037.66ms, Save: 64.79ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16565.26ms, Save: 63.08ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16944.24ms, Save: 62.82ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17907.41ms, Save: 65.93ms, Load: 58.39ms, Logits: 0.13ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17084.23ms, Load: 68.88ms, Save: 63.88ms, Logits: 0.12ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
